K00039	0	0	0	0	25.9123	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5027	0	0	0	0	28.0792	18.379	0	0	23.5422	11.4113	0	0	0	0	0	0	0	0	3.24174	0
K00040	17.3919	43.5639	12.6042	66.1648	58.0565	238.647	0	255.778	64.9106	0	51.0494	11.4645	121.972	30.3289	0	9.28322	0	144.812	29.0777	145.845	38.9344	461.454	0	0	0	49.9114	0	11.3473	43.625	71.2536	23.4165	202.664	47.4954	0	27.6827	21.6128	132.716	30.9272	410.306
K00041	0	0	0	0	0	0	0	4.27265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00042	7.40415	0	0	35.9075	10.4023	0	0	0	19.7507	6.41063	14.5911	167.772	26.3498	26.3084	0	0	0	0	60.4508	0	0	0	0	0	0	21.4281	0	119.71	0	13.8746	47.7692	3.29933	31.0124	0	92.8282	8.75435	0	6.96796	29.3135
K00048	296.308	28.574	49.3398	211.432	117.435	230.155	0	111.294	168.837	30.457	594.363	32.9449	333.567	429.596	60.5988	21.1542	0	304.782	52.6407	264.703	173.863	297.651	0	53.8332	0	375.362	277.157	121.411	429.179	265.125	61.4547	103.791	160.881	109.232	684.464	21.0339	87.7831	43.0656	122.991
K00052	73.4494	59.4689	34.8769	291.353	137.385	125.782	110.574	215.353	291.926	58.7792	142.647	99.8688	460.204	220.53	64.4042	178.196	107.829	396.03	64.4904	412.502	141.096	323.028	1.51664	14.2383	33.3518	176.548	377.823	144.156	120.611	199.805	144.846	946.031	203.426	50.6438	268.945	120.153	34.9129	363.095	158.387
K00053	477.103	129.005	55.8953	535.169	265.295	338.536	314.698	949.602	522.996	248.673	344.404	457.42	718.692	540.38	106.774	105.622	107.56	554.418	410.974	360.176	213.977	1726.6	0	181.032	566.527	351.798	708.987	168.732	968.174	378.715	259.743	663.839	420.295	193.366	944.761	197.173	225.738	861.755	531.179
K00054	6.96861	0	0	30.2641	199.823	0	315.4	22.0732	2.49178	6.12541	0	246.735	49.2386	0	50.0087	115.731	244.139	0	18.6409	0	476.943	0	238.733	291.846	11.9024	18.3032	523.358	35.3069	10.4044	80.2527	57.0591	2.4659	32.2938	9.29318	0	235.801	52.2742	315.796	13.13
K00055	0	30.027	34.8013	10.2351	0	0	24.2214	10.6225	2.68831	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01265	0	0	17.2749	0	0	0	0	38.5888	5.28261	3.56323	0	18.739	35.781	0	2.84401	0
K00057	400.184	350.604	277.348	472.036	100.508	366.428	528.554	215.457	282.501	150.66	345.316	607.319	392.578	278.631	319.613	151.972	346.583	477.091	257.406	135.826	243.431	489.958	418.45	454.623	0	334.924	315.543	223.22	230.475	430.23	165.654	211.311	299.255	611.645	143.724	438.711	234.172	453.628	181.039
